commentcontent,credit
小米手机有毒！上瘾了！作为小米的忠实粉丝，首先这个价格还是很不错的性价比很高，收到货后手机开了试了一下还行，打王者没有明显卡顿，其它软件也流畅运行还是很好的。但是物流真的是烂到家我买这么多电子产品了都是发顺丰快递结果买个手机小米给我发个邮政快递我真的是服气，一个星期了都还没到物流真的是不敢期待能有多好。手机摄像头不是平的而是稍微突出来的影响美观。其它各样都还好。性价比还是超级高的。,1
手机不错，米粉的忠实顾客，从小米3到红米3和这个红米5，反正好几个了。用着都还不错?这个手机给妈妈买的，运行速度快，内存也大，电量充足，屏幕够大，美中不足，屏幕显着有点长，很别扭，看喜欢了，可以接受吧！真实评价！,1
红米3更新换代红米5PLUS，从此不用再为妈妈的存储空间担心了！指纹解锁速度很快！前置摄像头自带美颜，光线不足的情况下还会开灯补光！赞一个！待机时间也也是足够的！全黑色很漂亮！,1
喜欢，实惠，系统很好，简洁。全面平，屏幕也很大。开机也蛮快的。还可以用指纹开机。黑色看起来，很高大上。也高端。摸起来，感觉很不错。只要轻轻一触碰就亮起来。感应很强。还送手机套。总体都很好。,1
收到了，手机屏幕很大，质量不错，做工精细，价格实惠，非常满意，一款性价比超高的手机推荐值得拥有！太喜欢了，一直都是用这个牌子的，速度很快，像素很好，满意！非常满意的一次购物。超赞，超赞！准备再入手1台，给爸爸用，这个价格买到这么好的机子，真的很值，以后就认准这个店铺了。大家可以放心购买，正品行货，值得信赖！,1
很喜欢喜欢，从第一部红米开始我就很喜欢小米手机了，当时的红米用了2年，后面因为不小心把屏幕给爆了??，所以就买了小米4，用了4年，然后屏幕有点花屏，刚好那时小米6发布了，哈哈，手机真的很耐用啊，手机一直都支持小米，小米不倒，支持到老，我相信我打了辣么多字来评论，肯定是忠实米粉了吧，这红米5plus是给我妈买的，等过年再给我爸也买一个???????    强烈推荐红米5plus，既便宜又实惠，而且性能也不错,1
不错，千元机算不错的了，相比相同配置同价位的魅蓝note6（没有全面屏）来说优点多，一些细节上还是做的不错的，也添加了分屏功能，软件双开也不错，一款游戏同时上两个号。摄像头千元机就算上等了，顺丰快递3天半南北距离，还是在南方也设一个仓库就好了。玩游戏很流畅，特别提的就是玩王者，大屏手机视距更广点，容易发现敌人。送的耳机音质还可以。 缺点：没有配送钢化膜，送的保护膜背面没有高于摄像头，起不来保护摄像头作用，要另外买一个。全屏黑边大约. 0.2毫米左右，不过要做到真正的全面屏就得是三星那种的曲面屏，那价格和手机厚度就是是这个了。总体来说，在千元机这个价位，这款手机可以说是佼佼者。,1
不错的手机，主题多样，手机也很薄，屏幕很大，比我想象的大很多，功能键也能隐藏起来，没什么黑边，电池也还算耐用，关键是内存够用，也不算太贵，唯一找到的一个缺点就是不带手机壳充电拿着手机时会感觉到手机背面有电流，不过送着手机壳套上也没什么壳。,1
用着很流畅    普通手机价格   却有高档手机的配置   超大全面屏幕   爽     官网旗舰店买的放心    这是买的第二台   一家人全是小米    用一个账号登录   电话本  照片等信息直接共享  非常方便,1
米粉一枚。再次购买。 品质优良，价格实惠。服务周到，物流快捷。 习惯了小米，用别的不适应。过了年给媳妇儿也换个新的。 去年儿子上大学，就想买个小米，满大街都找不到合适的。都说小米不行了，心想这么好的手机怎么就垮了......还好现在又旺起来了。祝小米越来越壮大。。。。。,1
